ip,cidr,hostname,owner,note,status
10.0.1.135,10.0.1.0/24,k8s-worker131-hq-mgmt.corp.example.com,Network Ops,K8S-Worker server — Production,used
10.0.1.136,10.0.1.0/24,etcd132-hq-mgmt.corp.example.com,Network Ops,Etcd server — Ubuntu 24.04 LTS,used
10.0.1.137,10.0.1.0/24,web133-hq-mgmt.corp.example.com,Network Ops,Web server — Scheduled for decom Q3,used
10.0.1.138,10.0.1.0/24,db134-hq-mgmt.corp.example.com,Network Ops,Db server — Rebuilt 2026-01,used
10.0.1.139,10.0.1.0/24,app135-hq-mgmt.corp.example.com,Network Ops,App server — HA pair node B,used
10.0.1.140,10.0.1.0/24,api136-hq-mgmt.corp.example.com,Network Ops,Api server — Staging,used
10.0.1.141,10.0.1.0/24,mail137-hq-mgmt.corp.example.com,Network Ops,Mail server — HA pair node A,used
10.0.2.1,10.0.2.0/25,gw-hq-lnx.corp.example.com,Network Ops,Default gateway — HQ Linux Servers,reserved
10.0.2.2,10.0.2.0/25,dns1-hq-lnx.corp.example.com,Network Ops,Primary DNS — HQ Linux Servers,reserved
10.0.2.3,10.0.2.0/25,dns2-hq-lnx.corp.example.com,Network Ops,Secondary DNS — HQ Linux Servers,reserved
10.0.2.4,10.0.2.0/25,dhcp-hq-lnx.corp.example.com,Network Ops,DHCP server — HQ Linux Servers,reserved
10.0.2.5,10.0.2.0/25,web01-hq-lnx.corp.example.com,IT Infrastructure,Web server — Ansible-managed,used
10.0.2.6,10.0.2.0/25,db02-hq-lnx.corp.example.com,IT Infrastructure,Db server — Patched 2026-03,used
10.0.2.7,10.0.2.0/25,app03-hq-lnx.corp.example.com,IT Infrastructure,App server — Ansible-managed,used
10.0.2.8,10.0.2.0/25,api04-hq-lnx.corp.example.com,IT Infrastructure,Api server — Windows Server 2022,used
10.0.2.9,10.0.2.0/25,mail05-hq-lnx.corp.example.com,IT Infrastructure,Mail server — Scheduled for decom Q3,used
10.0.2.10,10.0.2.0/25,vpn06-hq-lnx.corp.example.com,IT Infrastructure,Vpn server — HA pair node A,used
10.0.2.11,10.0.2.0/25,proxy07-hq-lnx.corp.example.com,IT Infrastructure,Proxy server — SELinux enforcing,used
10.0.2.12,10.0.2.0/25,nfs08-hq-lnx.corp.example.com,IT Infrastructure,Nfs server — New build,used
10.0.2.13,10.0.2.0/25,ldap09-hq-lnx.corp.example.com,IT Infrastructure,Ldap server — Rebuilt 2026-01,used
10.0.2.14,10.0.2.0/25,radius10-hq-lnx.corp.example.com,IT Infrastructure,Radius server — Ansible-managed,used
10.0.2.15,10.0.2.0/25,syslog11-hq-lnx.corp.example.com,IT Infrastructure,Syslog server — Ansible-managed,used
10.0.2.16,10.0.2.0/25,monitor12-hq-lnx.corp.example.com,IT Infrastructure,Monitor server — SELinux enforcing,used
10.0.2.17,10.0.2.0/25,backup13-hq-lnx.corp.example.com,IT Infrastructure,Backup server — New build,used
10.0.2.18,10.0.2.0/25,ansible14-hq-lnx.corp.example.com,IT Infrastructure,Ansible server — DR standby,used
10.0.2.19,10.0.2.0/25,git15-hq-lnx.corp.example.com,IT Infrastructure,Git server — HA pair node B,used
10.0.2.20,10.0.2.0/25,ci16-hq-lnx.corp.example.com,IT Infrastructure,Ci server — DR standby,used
10.0.2.21,10.0.2.0/25,artifact17-hq-lnx.corp.example.com,IT Infrastructure,Artifact server — HA pair node A,used
10.0.2.22,10.0.2.0/25,vault18-hq-lnx.corp.example.com,IT Infrastructure,Vault server — Windows Server 2022,used
10.0.2.23,10.0.2.0/25,kafka19-hq-lnx.corp.example.com,IT Infrastructure,Kafka server — Legacy system,used
10.0.2.24,10.0.2.0/25,redis20-hq-lnx.corp.example.com,IT Infrastructure,Redis server — Legacy system,used
10.0.2.25,10.0.2.0/25,elastic21-hq-lnx.corp.example.com,IT Infrastructure,Elastic server — HA pair node B,used
10.0.2.26,10.0.2.0/25,kibana22-hq-lnx.corp.example.com,IT Infrastructure,Kibana server — Windows Server 2022,used
10.0.2.27,10.0.2.0/25,grafana23-hq-lnx.corp.example.com,IT Infrastructure,Grafana server — Patched 2026-03,used
10.0.2.28,10.0.2.0/25,zabbix24-hq-lnx.corp.example.com,IT Infrastructure,Zabbix server — Rebuilt 2026-01,used
10.0.2.29,10.0.2.0/25,netbox25-hq-lnx.corp.example.com,IT Infrastructure,Netbox server — Ansible-managed,used
10.0.2.30,10.0.2.0/25,wiki26-hq-lnx.corp.example.com,IT Infrastructure,Wiki server — Patched 2026-03,used
10.0.2.31,10.0.2.0/25,jira27-hq-lnx.corp.example.com,IT Infrastructure,Jira server — Rebuilt 2026-01,used
10.0.2.32,10.0.2.0/25,confluence28-hq-lnx.corp.example.com,IT Infrastructure,Confluence server — Scheduled for decom Q3,used
10.0.2.33,10.0.2.0/25,nexus29-hq-lnx.corp.example.com,IT Infrastructure,Nexus server — HA pair node A,used
10.0.2.34,10.0.2.0/25,harbor30-hq-lnx.corp.example.com,IT Infrastructure,Harbor server — DR standby,used
10.0.2.35,10.0.2.0/25,k8s-master31-hq-lnx.corp.example.com,IT Infrastructure,K8S-Master server — Legacy system,used
10.0.2.36,10.0.2.0/25,k8s-worker32-hq-lnx.corp.example.com,IT Infrastructure,K8S-Worker server — New build,used
10.0.2.37,10.0.2.0/25,etcd33-hq-lnx.corp.example.com,IT Infrastructure,Etcd server — Staging,used
10.0.2.38,10.0.2.0/25,web34-hq-lnx.corp.example.com,IT Infrastructure,Web server — Ubuntu 24.04 LTS,used
10.0.2.39,10.0.2.0/25,db35-hq-lnx.corp.example.com,IT Infrastructure,Db server — Production,used
10.0.2.40,10.0.2.0/25,app36-hq-lnx.corp.example.com,IT Infrastructure,App server — RHEL 9.2,used
10.0.2.41,10.0.2.0/25,api37-hq-lnx.corp.example.com,IT Infrastructure,Api server — Staging,used
10.0.2.42,10.0.2.0/25,mail38-hq-lnx.corp.example.com,IT Infrastructure,Mail server — DR standby,used
10.0.2.43,10.0.2.0/25,vpn39-hq-lnx.corp.example.com,IT Infrastructure,Vpn server — SELinux enforcing,used
10.0.2.44,10.0.2.0/25,proxy40-hq-lnx.corp.example.com,IT Infrastructure,Proxy server — DR standby,used
10.0.2.45,10.0.2.0/25,nfs41-hq-lnx.corp.example.com,IT Infrastructure,Nfs server — Ubuntu 24.04 LTS,used
10.0.2.46,10.0.2.0/25,ldap42-hq-lnx.corp.example.com,IT Infrastructure,Ldap server — SELinux enforcing,used
10.0.2.47,10.0.2.0/25,radius43-hq-lnx.corp.example.com,IT Infrastructure,Radius server — Rebuilt 2026-01,used
10.0.2.48,10.0.2.0/25,syslog44-hq-lnx.corp.example.com,IT Infrastructure,Syslog server — Patched 2026-03,used
10.0.2.49,10.0.2.0/25,monitor45-hq-lnx.corp.example.com,IT Infrastructure,Monitor server — Staging,used
10.0.2.50,10.0.2.0/25,backup46-hq-lnx.corp.example.com,IT Infrastructure,Backup server — Rebuilt 2026-01,used
10.0.2.51,10.0.2.0/25,ansible47-hq-lnx.corp.example.com,IT Infrastructure,Ansible server — Rebuilt 2026-01,used
10.0.2.52,10.0.2.0/25,git48-hq-lnx.corp.example.com,IT Infrastructure,Git server — Patched 2026-03,used
10.0.2.53,10.0.2.0/25,ci49-hq-lnx.corp.example.com,IT Infrastructure,Ci server — New build,used
10.0.2.54,10.0.2.0/25,artifact50-hq-lnx.corp.example.com,IT Infrastructure,Artifact server — Legacy system,used
10.0.2.55,10.0.2.0/25,vault51-hq-lnx.corp.example.com,IT Infrastructure,Vault server — HA pair node B,used
10.0.2.56,10.0.2.0/25,kafka52-hq-lnx.corp.example.com,IT Infrastructure,Kafka server — Legacy system,used
10.0.2.57,10.0.2.0/25,redis53-hq-lnx.corp.example.com,IT Infrastructure,Redis server — RHEL 9.2,used
10.0.2.58,10.0.2.0/25,elastic54-hq-lnx.corp.example.com,IT Infrastructure,Elastic server — Production,used
10.0.2.59,10.0.2.0/25,kibana55-hq-lnx.corp.example.com,IT Infrastructure,Kibana server — SELinux enforcing,used
10.0.2.60,10.0.2.0/25,grafana56-hq-lnx.corp.example.com,IT Infrastructure,Grafana server — Windows Server 2022,used
10.0.2.61,10.0.2.0/25,zabbix57-hq-lnx.corp.example.com,IT Infrastructure,Zabbix server — Staging,used
10.0.2.62,10.0.2.0/25,netbox58-hq-lnx.corp.example.com,IT Infrastructure,Netbox server — SELinux enforcing,used
10.0.2.63,10.0.2.0/25,wiki59-hq-lnx.corp.example.com,IT Infrastructure,Wiki server — Ansible-managed,used
10.0.2.64,10.0.2.0/25,jira60-hq-lnx.corp.example.com,IT Infrastructure,Jira server — Legacy system,used
10.0.2.65,10.0.2.0/25,confluence61-hq-lnx.corp.example.com,IT Infrastructure,Confluence server — Ubuntu 24.04 LTS,used
10.0.2.66,10.0.2.0/25,nexus62-hq-lnx.corp.example.com,IT Infrastructure,Nexus server — HA pair node B,used
10.0.2.67,10.0.2.0/25,harbor63-hq-lnx.corp.example.com,IT Infrastructure,Harbor server — Ubuntu 24.04 LTS,used
10.0.2.68,10.0.2.0/25,k8s-master64-hq-lnx.corp.example.com,IT Infrastructure,K8S-Master server — SELinux enforcing,used
10.0.2.69,10.0.2.0/25,k8s-worker65-hq-lnx.corp.example.com,IT Infrastructure,K8S-Worker server — Scheduled for decom Q3,used
10.0.2.70,10.0.2.0/25,etcd66-hq-lnx.corp.example.com,IT Infrastructure,Etcd server — Staging,used
10.0.2.71,10.0.2.0/25,web67-hq-lnx.corp.example.com,IT Infrastructure,Web server — HA pair node B,used
10.0.2.72,10.0.2.0/25,db68-hq-lnx.corp.example.com,IT Infrastructure,Db server — Rebuilt 2026-01,used
10.0.2.73,10.0.2.0/25,app69-hq-lnx.corp.example.com,IT Infrastructure,App server — DR standby,used
10.0.2.74,10.0.2.0/25,api70-hq-lnx.corp.example.com,IT Infrastructure,Api server — New build,used
10.0.2.75,10.0.2.0/25,mail71-hq-lnx.corp.example.com,IT Infrastructure,Mail server — Production,used
10.0.2.76,10.0.2.0/25,vpn72-hq-lnx.corp.example.com,IT Infrastructure,Vpn server — Windows Server 2022,used
10.0.2.77,10.0.2.0/25,proxy73-hq-lnx.corp.example.com,IT Infrastructure,Proxy server — Ansible-managed,used
10.0.2.78,10.0.2.0/25,nfs74-hq-lnx.corp.example.com,IT Infrastructure,Nfs server — Windows Server 2022,used
10.0.2.79,10.0.2.0/25,ldap75-hq-lnx.corp.example.com,IT Infrastructure,Ldap server — HA pair node B,used
10.0.2.80,10.0.2.0/25,radius76-hq-lnx.corp.example.com,IT Infrastructure,Radius server — Legacy system,used
10.0.2.81,10.0.2.0/25,syslog77-hq-lnx.corp.example.com,IT Infrastructure,Syslog server — Ubuntu 24.04 LTS,used
10.0.2.82,10.0.2.0/25,monitor78-hq-lnx.corp.example.com,IT Infrastructure,Monitor server — DR standby,used
10.0.2.83,10.0.2.0/25,backup79-hq-lnx.corp.example.com,IT Infrastructure,Backup server — Legacy system,used
10.0.2.84,10.0.2.0/25,ansible80-hq-lnx.corp.example.com,IT Infrastructure,Ansible server — Ansible-managed,used
10.0.2.85,10.0.2.0/25,git81-hq-lnx.corp.example.com,IT Infrastructure,Git server — Staging,used
10.0.2.86,10.0.2.0/25,ci82-hq-lnx.corp.example.com,IT Infrastructure,Ci server — RHEL 9.2,used
10.0.2.87,10.0.2.0/25,artifact83-hq-lnx.corp.example.com,IT Infrastructure,Artifact server — SELinux enforcing,used
10.0.2.88,10.0.2.0/25,vault84-hq-lnx.corp.example.com,IT Infrastructure,Vault server — HA pair node B,used
10.0.2.89,10.0.2.0/25,kafka85-hq-lnx.corp.example.com,IT Infrastructure,Kafka server — RHEL 9.2,used
10.0.2.90,10.0.2.0/25,redis86-hq-lnx.corp.example.com,IT Infrastructure,Redis server — SELinux enforcing,used
10.0.2.91,10.0.2.0/25,elastic87-hq-lnx.corp.example.com,IT Infrastructure,Elastic server — Legacy system,used
10.0.2.92,10.0.2.0/25,kibana88-hq-lnx.corp.example.com,IT Infrastructure,Kibana server — Patched 2026-03,used
